name,gender,text,processed_text,adjective_text,noun_text,selected_text
Albert_Einstein,male,"Albert Einstein was a German-born theoretical physicist best known for developing the theory of relativity. Einstein also made important contributions to quantum theory. His mass–energy equivalence formula E = mc2, which arises from special relativity, has been called ""the world's most famous equation"". He received the 1921 Nobel Prize in Physics for ""his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect"".",albert einstein german born theoretical physicist best known developing theory relativity einstein also made important contributions quantum theory mass energy equivalence formula e mc which arises special relativity been called world s most famous equation received nobel prize physics services theoretical physics especially discovery law photoelectric effect,german theoretical special famous theoretical photoelectric,albert einstein born physicist best known developing theory relativity einstein also made important contributions quantum theory mass energy equivalence formula e mc which arises relativity been called world s most equation received nobel prize physics services physics especially discovery law effect,german theoretical special famous theoretical photoelectric albert einstein born physicist best known developing theory relativity einstein also made important contributions quantum theory mass energy equivalence formula e mc which arises relativity been called world s most equation received nobel prize physics services physics especially discovery law effect
Isaac_Newton,male,"Sir Isaac Newton was an English polymath who was a mathematician, physicist, astronomer, alchemist, theologian, author and inventor. He was a key figure in the Scientific Revolution and the Enlightenment that followed. His book Philosophiæ Naturalis Principia Mathematica, first published in 1687, achieved the first great unification in physics and established classical mechanics. Newton also made seminal contributions to optics, and shares credit with the German mathematician Gottfried Wilhelm Leibniz for formulating infinitesimal calculus, although he developed calculus years before Leibniz. Newton contributed to and refined the scientific method, and his work is considered the most influential in bringing forth modern science.",sir isaac newton english polymath who mathematician physicist astronomer alchemist theologian author inventor key figure scientific revolution enlightenment followed book philosophi naturalis principia mathematica first published achieved first great unification physics established classical mechanics newton also made seminal contributions optics shares credit german mathematician gottfried wilhelm leibniz formulating infinitesimal calculus although developed calculus years before leibniz newton contributed refined scientific method work considered most influential bringing forth modern science,english scientific first first classical seminal german infinitesimal scientific influential modern,sir isaac newton polymath who mathematician physicist astronomer alchemist theologian author inventor key figure revolution enlightenment followed book philosophi naturalis principia mathematica published achieved great unification physics established mechanics newton also made contributions optics shares credit mathematician gottfried wilhelm leibniz formulating calculus although developed calculus years before leibniz newton contributed refined method work considered most bringing forth science,english scientific first first classical seminal german infinitesimal scientific influential modern sir isaac newton polymath who mathematician physicist astronomer alchemist theologian author inventor key figure revolution enlightenment followed book philosophi naturalis principia mathematica published achieved great unification physics established mechanics newton also made contributions optics shares credit mathematician gottfried wilhelm leibniz formulating calculus although developed calculus years before leibniz newton contributed refined method work considered most bringing forth science
Nikola_Tesla,male,"Nikola Tesla was a Serbian-American engineer, futurist, and inventor. He is known for his contributions to the design of the modern alternating current (AC) electricity supply system.",nikola tesla serbian american engineer futurist inventor known contributions design modern alternating current ac electricity supply system,serbian american modern,nikola tesla engineer futurist inventor known contributions design alternating current ac electricity supply system,serbian american modern nikola tesla engineer futurist inventor known contributions design alternating current ac electricity supply system
Tim_Berners-Lee,male,"Sir Timothy John Berners-Lee, also known as TimBL, is an English computer scientist best known as the inventor of the World Wide Web, HTML, the URL system, and HTTP. He is a professorial research fellow at the University of Oxford and a professor emeritus at the Massachusetts Institute of Technology (MIT).",sir timothy john berners lee also known timbl english computer scientist best known inventor world wide web html url system http professorial research fellow university oxford professor emeritus massachusetts institute technology mit,english professorial,sir timothy john berners lee also known timbl computer scientist best known inventor world wide web html url system http research fellow university oxford professor emeritus massachusetts institute technology mit,english professorial sir timothy john berners lee also known timbl computer scientist best known inventor world wide web html url system http research fellow university oxford professor emeritus massachusetts institute technology mit
Alfred_Nobel,male,"Alfred Bernhard Nobel was a Swedish chemist, inventor, engineer, and businessman. He is known for inventing dynamite, as well as having bequeathed his fortune to establish the Nobel Prizes. He also made several other important contributions to science, holding 355 patents during his life.",alfred bernhard nobel swedish chemist inventor engineer businessman known inventing dynamite well having bequeathed fortune establish nobel prizes also made several other important contributions science holding patents during life,several,alfred bernhard nobel swedish chemist inventor engineer businessman known inventing dynamite well having bequeathed fortune establish nobel prizes also made other important contributions science holding patents during life,several alfred bernhard nobel swedish chemist inventor engineer businessman known inventing dynamite well having bequeathed fortune establish nobel prizes also made other important contributions science holding patents during life
John_A._Roebling,male,"John Augustus Roebling was a German-born American civil engineer. He designed and built wire rope suspension bridges, in particular the Brooklyn Bridge, which has been designated as a National Historic Landmark and a National Historic Civil Engineering Landmark.",john augustus roebling german born american civil engineer designed built wire rope suspension bridges particular brooklyn bridge which been designated national historic landmark national historic civil engineering landmark,german american national historic national historic,john augustus roebling born civil engineer designed built wire rope suspension bridges particular brooklyn bridge which been designated landmark civil engineering landmark,german american national historic national historic john augustus roebling born civil engineer designed built wire rope suspension bridges particular brooklyn bridge which been designated landmark civil engineering landmark
August_Horch,male,"August Horch was a German engineer and automobile pioneer, the founder of the manufacturing giant that eventually became Audi.",august horch german engineer automobile pioneer founder manufacturing giant eventually became audi,german,august horch engineer automobile pioneer founder manufacturing giant eventually became audi,german august horch engineer automobile pioneer founder manufacturing giant eventually became audi
Paolo_Nespoli,male,"Major Paolo Angelo Nespoli is an Italian astronaut and engineer of the European Space Agency (ESA). In 2007, he first traveled into space aboard the Space Shuttle Discovery as a mission specialist of STS-120. In December 2010 he again traveled into space aboard the Soyuz TMA-20 spacecraft as an Expedition 26/27 flight engineer. Nespoli's third spaceflight was on board Soyuz MS-05, which launched in July 2017 for Expedition 52/53. He was also the European Space Agency's oldest active astronaut prior to his retirement in 2019.",major paolo angelo nespoli italian astronaut engineer european space agency esa first traveled into space aboard space shuttle discovery mission specialist sts december again traveled into space aboard soyuz tma spacecraft expedition flight engineer nespoli s third spaceflight board soyuz ms which launched july expedition also european space agency s oldest active astronaut prior retirement,first active,major paolo angelo nespoli italian astronaut engineer european space agency esa traveled into space aboard space shuttle discovery mission specialist sts december again traveled into space aboard soyuz tma spacecraft expedition flight engineer nespoli s third spaceflight board soyuz ms which launched july expedition also european space agency s oldest astronaut prior retirement,first active major paolo angelo nespoli italian astronaut engineer european space agency esa traveled into space aboard space shuttle discovery mission specialist sts december again traveled into space aboard soyuz tma spacecraft expedition flight engineer nespoli s third spaceflight board soyuz ms which launched july expedition also european space agency s oldest astronaut prior retirement
Marie_Curie,female,"Maria Salomea Skłodowska Curie, better known as Marie Curie, was a Polish and naturalised-French physicist and chemist. She shared the 1903 Nobel Prize in Physics with her husband Pierre Curie ""for their joint researches on the radioactivity phenomena discovered by Professor Henri Becquerel"". She won the 1911 Nobel Prize in Chemistry ""[for] the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element"".",maria salomea sk odowska curie better known marie curie polish naturalised french physicist chemist shared nobel prize physics husband pierre curie joint researches radioactivity phenomena discovered professor henri becquerel won nobel prize chemistry discovery elements radium polonium isolation radium study nature compounds this remarkable element,polish french,maria salomea sk odowska curie better known marie curie naturalised physicist chemist shared nobel prize physics husband pierre curie joint researches radioactivity phenomena discovered professor henri becquerel won nobel prize chemistry discovery elements radium polonium isolation radium study nature compounds this remarkable element,polish french maria salomea sk odowska curie better known marie curie naturalised physicist chemist shared nobel prize physics husband pierre curie joint researches radioactivity phenomena discovered professor henri becquerel won nobel prize chemistry discovery elements radium polonium isolation radium study nature compounds this remarkable element
Ada_Lovelace,female,"Augusta Ada King, Countess of Lovelace, also known as Ada Lovelace, was an English mathematician and writer chiefly known for work on Charles Babbage's proposed mechanical general-purpose computer, the analytical engine. She was the first to recognise the machine had applications beyond pure calculation. Lovelace is often considered the first computer programmer.",augusta ada king countess lovelace also known ada lovelace english mathematician writer chiefly known work charles babbage s proposed mechanical general purpose computer analytical engine first recognise machine had applications beyond pure calculation lovelace often considered first computer programmer,english mechanical general analytical first pure first,augusta ada king countess lovelace also known ada lovelace mathematician writer chiefly known work charles babbage s proposed purpose computer engine recognise machine had applications beyond calculation lovelace often considered computer programmer,english mechanical general analytical first pure first augusta ada king countess lovelace also known ada lovelace mathematician writer chiefly known work charles babbage s proposed purpose computer engine recognise machine had applications beyond calculation lovelace often considered computer programmer
Rosalind_Franklin,female,"Rosalind Elsie Franklin was an English chemist and X-ray crystallographer. Her work was central to the understanding of the molecular structures of DNA, RNA, viruses, coal, and graphite. Although her works on coal and viruses were appreciated in her lifetime, Franklin's contributions to the discovery of the structure of DNA were largely unrecognised during her life, for which Franklin has been variously referred to as the ""wronged heroine"", the ""dark lady of DNA"", the ""forgotten heroine"", a ""feminist icon"", and the ""Sylvia Plath of molecular biology"". James Watson believed that, had she not died, Franklin would have been awarded a Nobel Prize in Chemistry.",rosalind elsie franklin english chemist x ray crystallographer work central understanding molecular structures dna rna viruses coal graphite although works coal viruses appreciated lifetime franklin s contributions discovery structure dna largely unrecognised during life which franklin been variously referred wronged heroine dark lady dna forgotten heroine feminist icon sylvia plath molecular biology james watson believed had not died franklin would have been awarded nobel prize chemistry,english central molecular coal coal molecular,rosalind elsie franklin chemist x ray crystallographer work understanding structures dna rna viruses graphite although works viruses appreciated lifetime franklin s contributions discovery structure dna largely unrecognised during life which franklin been variously referred wronged heroine dark lady dna forgotten heroine feminist icon sylvia plath biology james watson believed had not died franklin would have been awarded nobel prize chemistry,english central molecular coal coal molecular rosalind elsie franklin chemist x ray crystallographer work understanding structures dna rna viruses graphite although works viruses appreciated lifetime franklin s contributions discovery structure dna largely unrecognised during life which franklin been variously referred wronged heroine dark lady dna forgotten heroine feminist icon sylvia plath biology james watson believed had not died franklin would have been awarded nobel prize chemistry
Valentina_Tereshkova,female,"Valentina Vladimirovna Tereshkova is a Russian engineer, politician, and former Soviet cosmonaut. She was the first woman in space, having flown a solo mission on Vostok 6 on 16 June 1963. She orbited the Earth 48 times, spent almost three days in space, is the only woman to have been on a solo space mission and is the last surviving Vostok programme cosmonaut. Twenty-six years old at the time of her spaceflight, she remains the youngest woman to have flown in space under the international definition of 100 km altitude, and the youngest woman to fly in Earth orbit.",valentina vladimirovna tereshkova russian engineer politician former soviet cosmonaut first woman space having flown solo mission vostok june orbited earth times spent almost three days space only woman have been solo space mission last surviving vostok programme cosmonaut twenty six years old time spaceflight remains youngest woman have flown space under international definition km altitude youngest woman fly earth orbit,first international,valentina vladimirovna tereshkova russian engineer politician former soviet cosmonaut woman space having flown solo mission vostok june orbited earth times spent almost three days space only woman have been solo space mission last surviving vostok programme cosmonaut twenty six years old time spaceflight remains youngest woman have flown space under definition km altitude youngest woman fly earth orbit,first international valentina vladimirovna tereshkova russian engineer politician former soviet cosmonaut woman space having flown solo mission vostok june orbited earth times spent almost three days space only woman have been solo space mission last surviving vostok programme cosmonaut twenty six years old time spaceflight remains youngest woman have flown space under definition km altitude youngest woman fly earth orbit
Frances_Allen,female,"Frances Elizabeth Allen was an American computer scientist and pioneer in the field of optimizing compilers. Allen was the first woman to become an IBM Fellow, and in 2006 became the first woman to win the Turing Award. Her achievements include seminal work in compilers, program optimization, and parallelization. She worked for IBM from 1957 to 2002 and subsequently was a Fellow Emerita.",frances elizabeth allen american computer scientist pioneer field optimizing compilers allen first woman become ibm fellow became first woman win turing award achievements include seminal work compilers program optimization parallelization worked ibm subsequently fellow emerita,american first first seminal,frances elizabeth allen computer scientist pioneer field optimizing compilers allen woman become ibm fellow became woman win turing award achievements include work compilers program optimization parallelization worked ibm subsequently fellow emerita,american first first seminal frances elizabeth allen computer scientist pioneer field optimizing compilers allen woman become ibm fellow became woman win turing award achievements include work compilers program optimization parallelization worked ibm subsequently fellow emerita
Evelyn_Berezin,female,Evelyn Berezin was an American computer designer responsible for the creation of the first airline reservation systems and the original word processor.,evelyn berezin american computer designer responsible creation first airline reservation systems original word processor,american first original,evelyn berezin computer designer responsible creation airline reservation systems word processor,american first original evelyn berezin computer designer responsible creation airline reservation systems word processor
Mae_Jemison,female,"Mae Carol Jemison is an American engineer, physician, and former NASA astronaut. She became the first African-American woman to travel into space when she served as a mission specialist aboard the Space Shuttle Endeavour in 1992. Jemison joined NASA's astronaut corps in 1987 and was selected for the STS-47 mission, during which the Endeavour orbited the Earth for nearly eight days on September 12–20, 1992.",mae carol jemison american engineer physician former nasa astronaut became first african american woman travel into space when served mission specialist aboard space shuttle endeavour jemison joined nasa s astronaut corps selected sts mission during which endeavour orbited earth nearly eight days september,american first american,mae carol jemison engineer physician former nasa astronaut became african woman travel into space when served mission specialist aboard space shuttle endeavour jemison joined nasa s astronaut corps selected sts mission during which endeavour orbited earth nearly eight days september,american first american mae carol jemison engineer physician former nasa astronaut became african woman travel into space when served mission specialist aboard space shuttle endeavour jemison joined nasa s astronaut corps selected sts mission during which endeavour orbited earth nearly eight days september
Margaret_Hamilton_(software_engineer),female,"Margaret Elaine Hamilton is an American computer scientist. She directed the Software Engineering Division at the MIT Instrumentation Laboratory, where she led the development of the on-board flight software for NASA's Apollo Guidance Computer for the Apollo program. She later founded two software companies, Higher Order Software in 1976 and Hamilton Technologies in 1986, both in Cambridge, Massachusetts.",margaret elaine hamilton american computer scientist directed software engineering division mit instrumentation laboratory where led development board flight software nasa s apollo guidance computer apollo program later founded two software companies higher order software hamilton technologies both cambridge massachusetts,american,margaret elaine hamilton computer scientist directed software engineering division mit instrumentation laboratory where led development board flight software nasa s apollo guidance computer apollo program later founded two software companies higher order software hamilton technologies both cambridge massachusetts,american margaret elaine hamilton computer scientist directed software engineering division mit instrumentation laboratory where led development board flight software nasa s apollo guidance computer apollo program later founded two software companies higher order software hamilton technologies both cambridge massachusetts
